number,achieve'money,change(%)
1504939,30244591,0.3762
1756871,35429702,0.4392
1057682,21486485,0.2644
2044574,41533675,0.5111
1284236,26121138,0.3211
1439378,29132237,0.3598
N/A,N/A,N/A
994111,19886283,0.2485
1535677,30861803,0.3839
1456209,29178158,0.3641
1596790,32408351,0.3992
1240780,25015532,0.3102
1016048,20601308,0.254
1028558,20895629,0.2571
4621546,95763269,1.1554
1478652,30636854,0.3697
1240703,25576129,0.3102
1340746,27628603,0.3352
1446711,29801479,0.3617
1954140,39966641,0.4885
2210641,44448134,0.5527
2072245,41255636,0.5181
846951,16778161,0.2117
1756796,34785819,0.4392
804710,16097131,0.2012
671507,13505264,0.1679
949313,19141799,0.2373
1054525,21253875,0.2636
847953,17014406,0.212
1029244,20576632,0.2573
618351,12351919,0.1546
476040,9469464,0.119
594011,11785185,0.1485
427336,8532406,0.1068
1790538,36337789,0.4476
518920,10409494,0.1297
467542,9317510,0.1169
334001,6656397,0.0835
406644,8097473,0.1017
851545,16799351,0.2129
941150,18475084,0.2353
1005594,19558257,0.2514
2044587,39162416,0.5111
604555,11660723,0.1511
2371903,47149062,0.593
1019940,20285944,0.255
950942,19067113,0.2377
791252,15566974,0.1978
669975,13034020,0.1675
873002,17009693,0.2183
598527,11675729,0.1496
2254949,42326188,0.5637
2001826,36240164,0.5005
1200588,21705314,0.3001
998280,17798414,0.2496
816437,14494845,0.2041
7054614,113908078,1.7637
5866832,89289276,1.4667
1701193,25977861,0.4253
1146674,17586712,0.2867
1950969,30802309,0.4877
1112419,17647286,0.2781
1496391,23869344,0.3741
445721,7070648,0.1114
600792,9489342,0.1502
582390,9063350,0.1456
893142,14218308,0.2233
449690,7194357,0.1124
1019050,15855639,0.2548
540395,8374124,0.1351
780985,12057506,0.1952
1275585,19403153,0.3189
826456,12506214,0.2066
711553,11031395,0.1779
298082,4578169,0.0745
361143,5553485,0.0903
547023,8412784,0.1368
904973,14092988,0.2262
N/A,N/A,N/A
1245518,19168435,0.3114
883246,13402914,0.2208
1103175,16686964,0.2758
676911,10381386,0.1692
1615161,24189952,0.4038
455500,6874039,0.1139
634100,9450848,0.1585
987200,14490757,0.2468
599773,8775386,0.1499
2000385,30524998,0.5001
1620962,24941790,0.4052
481334,7271422,0.1203
463989,6956958,0.116
486309,7311255,0.1216
544976,8104599,0.1362
342814,5098840,0.0857
665554,10091716,0.1664
479146,7222923,0.1198
384205,5782128,0.0961
699800,10399872,0.1749
817410,12009605,0.2044
1855546,27767727,0.4639
2125393,32764519,0.5313
1596784,24706287,0.3992
4146047,65500456,1.0365
1635921,25577483,0.409
2665836,40293062,0.6665
1372050,20537746,0.343
10829785,176124991,2.7074
8427514,139322444,2.1069
3313723,53614349,0.8284
2492263,40402182,0.6231
1414854,23231361,0.3537
